    66    0.17999E+04    0.26886E+00   -0.36532E+01    0.64942E+07    0.15445E+05
    67    0.18199E+04    0.28092E+00   -0.40450E+01    0.64678E+07    0.15144E+05
    68    0.18405E+04    0.29327E+00   -0.44458E+01    0.64409E+07    0.14853E+05
    69    0.18613E+04    0.30582E+00   -0.48533E+01    0.64136E+07    0.14572E+05
    70    0.18825E+04    0.31857E+00   -0.52682E+01    0.63859E+07    0.14300E+05
    71    0.19039E+04    0.33146E+00   -0.56925E+01    0.63579E+07    0.14038E+05
    72    0.19257E+04    0.34449E+00   -0.61288E+01    0.63295E+07    0.13783E+05
    73    0.19476E+04    0.35765E+00   -0.65789E+01    0.63008E+07    0.13535E+05
    74    0.19697E+04    0.37098E+00   -0.70434E+01    0.62719E+07    0.13294E+05
    75    0.19921E+04    0.38451E+00   -0.75224E+01    0.62427E+07    0.13058E+05
    76    0.20146E+04    0.39828E+00   -0.80159E+01    0.62132E+07    0.12826E+05
    77    0.20374E+04    0.41227E+00   -0.85225E+01    0.61835E+07    0.12597E+05
    78    0.20606E+04    0.42649E+00   -0.90415E+01    0.61536E+07    0.12372E+05
    79    0.20840E+04    0.44087E+00   -0.95671E+01    0.61236E+07    0.12148E+05
    80    0.21078E+04    0.45541E+00   -0.10099E+02    0.60934E+07    0.11927E+05
    81    0.21319E+04    0.47004E+00   -0.10635E+02    0.60631E+07    0.11706E+05
    82    0.21563E+04    0.48479E+00   -0.11178E+02    0.60326E+07    0.11489E+05
    83    0.21810E+04    0.49963E+00   -0.11727E+02    0.60021E+07    0.11276E+05
    84    0.22060E+04    0.51455E+00   -0.12284E+02    0.59715E+07    0.11070E+05
    85    0.22311E+04    0.52954E+00   -0.12852E+02    0.59408E+07    0.10873E+05
    86    0.22565E+04    0.54461E+00   -0.13430E+02    0.59100E+07    0.10686E+05
    87    0.22823E+04    0.55972E+00   -0.14018E+02    0.58792E+07    0.10509E+05
    88    0.23081E+04    0.57490E+00   -0.14615E+02    0.58484E+07    0.10338E+05
    89    0.23343E+04    0.59013E+00   -0.15222E+02    0.58176E+07    0.10174E+05
    90    0.23608E+04    0.60538E+00   -0.15833E+02    0.57868E+07    0.10013E+05
    91    0.23874E+04    0.62063E+00   -0.16451E+02    0.57560E+07    0.98550E+04
    92    0.24143E+04    0.63588E+00   -0.17072E+02    0.57252E+07    0.96994E+04
    93    0.24416E+04    0.65111E+00   -0.17699E+02    0.56944E+07    0.95463E+04
    94    0.24690E+04    0.66630E+00   -0.18329E+02    0.56636E+07    0.93955E+04
    95    0.24967E+04    0.68143E+00   -0.18962E+02    0.56329E+07    0.92472E+04
    96    0.25244E+04    0.69650E+00   -0.19600E+02    0.56023E+07    0.91013E+04
    97    0.25526E+04    0.71149E+00   -0.20240E+02    0.55717E+07    0.89579E+04
    98    0.25810E+04    0.72639E+00   -0.20880E+02    0.55411E+07    0.88168E+04
    99    0.26096E+04    0.74117E+00   -0.21524E+02    0.55106E+07    0.86783E+04
   100    0.26385E+04    0.75582E+00   -0.22168E+02    0.54802E+07    0.85422E+04
   101    0.26675E+04    0.77040E+00   -0.22813E+02    0.54499E+07    0.84085E+04
   102    0.26971E+04    0.78478E+00   -0.23459E+02    0.54197E+07    0.82773E+04
   103    0.27267E+04    0.79901E+00   -0.24106E+02    0.53895E+07    0.81486E+04
   104    0.27565E+04    0.81310E+00   -0.24751E+02    0.53594E+07    0.80224E+04
   105    0.27865E+04    0.82699E+00   -0.25395E+02    0.53295E+07    0.78987E+04
   106    0.28167E+04    0.84073E+00   -0.26038E+02    0.52997E+07    0.77776E+04
   107    0.28469E+04    0.85418E+00   -0.26679E+02    0.52699E+07    0.76589E+04
   108    0.28775E+04    0.86742E+00   -0.27319E+02    0.52403E+07    0.75427E+04
   109    0.29082E+04    0.88037E+00   -0.27955E+02    0.52109E+07    0.74291E+04
   110    0.29391E+04    0.89303E+00   -0.28587E+02    0.51816E+07    0.73180E+04
   111    0.29701E+04    0.90549E+00   -0.29215E+02    0.51524E+07    0.72095E+04
   112    0.30013E+04    0.91765E+00   -0.29841E+02    0.51234E+07    0.71035E+04
   113    0.30327E+04    0.92952E+00   -0.30461E+02    0.50945E+07    0.69999E+04
   114    0.30643E+04    0.94103E+00   -0.31075E+02    0.50658E+07    0.68986E+04
   115    0.30961E+04    0.95233E+00   -0.31683E+02    0.50372E+07    0.67997E+04
   116    0.31279E+04    0.96319E+00   -0.32284E+02    0.50088E+07    0.67030E+04
   117    0.31600E+04    0.97369E+00   -0.32878E+02    0.49805E+07    0.66085E+04
   118    0.31923E+04    0.98397E+00   -0.33465E+02    0.49524E+07    0.65162E+04
   119    0.32246E+04    0.99389E+00   -0.34043E+02    0.49244E+07    0.64259E+04
   120    0.32571E+04    0.10033E+01   -0.34612E+02    0.48966E+07    0.63377E+04
   121    0.32896E+04    0.10125E+01   -0.35172E+02    0.48690E+07    0.62514E+04
   122    0.33223E+04    0.10212E+01   -0.35722E+02    0.48415E+07    0.61670E+04
   123    0.33550E+04    0.10294E+01   -0.36262E+02    0.48142E+07    0.60845E+04
   124    0.33878E+04    0.10373E+01   -0.36789E+02    0.47870E+07    0.60037E+04
   125    0.34206E+04    0.10447E+01   -0.37306E+02    0.47601E+07    0.59247E+04
   126    0.34535E+04    0.10518E+01   -0.37811E+02    0.47332E+07    0.58473E+04
   127    0.34864E+04    0.10584E+01   -0.38304E+02    0.47066E+07    0.57715E+04
   128    0.35194E+04    0.10646E+01   -0.38784E+02    0.46801E+07    0.56973E+04
   129    0.35524E+04    0.10702E+01   -0.39251E+02    0.46538E+07    0.56246E+04
   130    0.35855E+04    0.10754E+01   -0.39702E+02    0.46276E+07    0.55532E+04
