    38    0.13532E+04    0.19590E+01    0.40226E-04    0.19590E+01    0.46466E-01   -0.38985E-07    0.40226E-04   -0.38985E-07    0.10456E-09
    39    0.13643E+04    0.19133E+01    0.38592E-04    0.19133E+01    0.50717E-01   -0.35147E-07    0.38592E-04   -0.35147E-07    0.99306E-10
    40    0.13756E+04    0.18596E+01    0.37041E-04    0.18596E+01    0.55209E-01   -0.32149E-07    0.37041E-04   -0.32149E-07    0.94410E-10
    41    0.13876E+04    0.17976E+01    0.35576E-04    0.17976E+01    0.59936E-01   -0.29939E-07    0.35576E-04   -0.29939E-07    0.89840E-10
    42    0.14001E+04    0.17259E+01    0.34189E-04    0.17259E+01    0.64917E-01   -0.28348E-07    0.34189E-04   -0.28348E-07    0.85570E-10
    43    0.14131E+04    0.16430E+01    0.32870E-04    0.16430E+01    0.70181E-01   -0.27178E-07    0.32870E-04   -0.27178E-07    0.81578E-10
    44    0.14264E+04    0.15482E+01    0.31608E-04    0.15482E+01    0.75740E-01   -0.26232E-07    0.31608E-04   -0.26232E-07    0.77839E-10
    45    0.14402E+04    0.14409E+01    0.30395E-04    0.14409E+01    0.81615E-01   -0.25313E-07    0.30395E-04   -0.25313E-07    0.74331E-10
    46    0.14543E+04    0.13187E+01    0.29221E-04    0.13187E+01    0.87821E-01   -0.24276E-07    0.29221E-04   -0.24276E-07    0.71033E-10
    47    0.14688E+04    0.11829E+01    0.28086E-04    0.11829E+01    0.94330E-01   -0.23190E-07    0.28086E-04   -0.23190E-07    0.67930E-10
    48    0.14834E+04    0.10378E+01    0.26991E-04    0.10378E+01    0.10111E+00   -0.22174E-07    0.26991E-04   -0.22174E-07    0.65008E-10
    49    0.14983E+04    0.88753E+00    0.25938E-04    0.88753E+00    0.10810E+00   -0.21351E-07    0.25938E-04   -0.21351E-07    0.62256E-10
    50    0.15138E+04    0.72914E+00    0.24928E-04    0.72914E+00    0.11524E+00   -0.20841E-07    0.24928E-04   -0.20841E-07    0.59659E-10
    51    0.15296E+04    0.55835E+00    0.23962E-04    0.55835E+00    0.12248E+00   -0.20715E-07    0.23962E-04   -0.20715E-07    0.57205E-10
    52    0.15459E+04    0.37067E+00    0.23041E-04    0.37067E+00    0.12994E+00   -0.20847E-07    0.23041E-04   -0.20847E-07    0.54886E-10
    53    0.15624E+04    0.16338E+00    0.22166E-04    0.16338E+00    0.13782E+00   -0.21061E-07    0.22166E-04   -0.21061E-07    0.52691E-10
    54    0.15789E+04   -0.58244E-01    0.21337E-04   -0.58244E-01    0.14617E+00   -0.21180E-07    0.21337E-04   -0.21180E-07    0.50614E-10
    55    0.15956E+04   -0.28884E+00    0.20554E-04   -0.28884E+00    0.15501E+00   -0.21029E-07    0.20554E-04   -0.21029E-07    0.48644E-10
    56    0.16127E+04   -0.52943E+00    0.19819E-04   -0.52943E+00    0.16424E+00   -0.20488E-07    0.19819E-04   -0.20488E-07    0.46775E-10
    57    0.16301E+04   -0.78040E+00    0.19123E-04   -0.78040E+00    0.17370E+00   -0.19661E-07    0.19123E-04   -0.19661E-07    0.45001E-10
    58    0.16479E+04   -0.10432E+01    0.18461E-04   -0.10432E+01    0.18336E+00   -0.18712E-07    0.18461E-04   -0.18712E-07    0.43315E-10
    59    0.16659E+04   -0.13193E+01    0.17826E-04   -0.13193E+01    0.19318E+00   -0.17800E-07    0.17826E-04   -0.17800E-07    0.41712E-10
    60    0.16842E+04   -0.16087E+01    0.17209E-04   -0.16087E+01    0.20318E+00   -0.17087E-07    0.17209E-04   -0.17087E-07    0.40187E-10
    61    0.17031E+04   -0.19112E+01    0.16607E-04   -0.19112E+01    0.21340E+00   -0.16694E-07    0.16607E-04   -0.16694E-07    0.38734E-10
    62    0.17220E+04   -0.22279E+01    0.16019E-04   -0.22279E+01    0.22387E+00   -0.16579E-07    0.16019E-04   -0.16579E-07    0.37351E-10
    63    0.17410E+04   -0.25597E+01    0.15449E-04   -0.25597E+01    0.23460E+00   -0.16657E-07    0.15449E-04   -0.16657E-07    0.36032E-10
    64    0.17605E+04   -0.29079E+01    0.14899E-04   -0.29079E+01    0.24567E+00   -0.16846E-07    0.14899E-04   -0.16846E-07    0.34774E-10
    65    0.17800E+04   -0.32730E+01    0.14373E-04   -0.32730E+01    0.25710E+00   -0.17061E-07    0.14373E-04   -0.17061E-07    0.33573E-10
    66    0.17999E+04   -0.36532E+01    0.13872E-04   -0.36532E+01    0.26886E+00   -0.17226E-07    0.13872E-04   -0.17226E-07    0.32426E-10
    67    0.18199E+04   -0.40450E+01    0.13396E-04   -0.40450E+01    0.28092E+00   -0.17298E-07    0.13396E-04   -0.17298E-07    0.31330E-10
    68    0.18405E+04   -0.44458E+01    0.12942E-04   -0.44458E+01    0.29327E+00   -0.17237E-07    0.12942E-04   -0.17237E-07    0.30283E-10
    69    0.18613E+04   -0.48533E+01    0.12511E-04   -0.48533E+01    0.30582E+00   -0.17007E-07    0.12511E-04   -0.17007E-07    0.29280E-10
    70    0.18825E+04   -0.52682E+01    0.12100E-04   -0.52682E+01    0.31857E+00   -0.16570E-07    0.12100E-04   -0.16570E-07    0.28321E-10
    71    0.19039E+04   -0.56925E+01    0.11708E-04   -0.56925E+01    0.33146E+00   -0.15913E-07    0.11708E-04   -0.15913E-07    0.27403E-10
    72    0.19257E+04   -0.61288E+01    0.11334E-04   -0.61288E+01    0.34449E+00   -0.15127E-07    0.11334E-04   -0.15127E-07    0.26523E-10
    73    0.19476E+04   -0.65789E+01    0.10976E-04   -0.65789E+01    0.35765E+00   -0.14328E-07    0.10976E-04   -0.14328E-07    0.25679E-10
    74    0.19697E+04   -0.70434E+01    0.10632E-04   -0.70434E+01    0.37098E+00   -0.13632E-07    0.10632E-04   -0.13632E-07    0.24871E-10
    75    0.19921E+04   -0.75224E+01    0.10302E-04   -0.75224E+01    0.38451E+00   -0.13153E-07    0.10302E-04   -0.13153E-07    0.24095E-10
    76    0.20146E+04   -0.80159E+01    0.99843E-05   -0.80159E+01    0.39828E+00   -0.12974E-07    0.99843E-05   -0.12974E-07    0.23350E-10
    77    0.20374E+04   -0.85225E+01    0.96774E-05   -0.85225E+01    0.41227E+00   -0.13035E-07    0.96774E-05   -0.13035E-07    0.22635E-10
    78    0.20606E+04   -0.90415E+01    0.93807E-05   -0.90415E+01    0.42649E+00   -0.13243E-07    0.93807E-05   -0.13243E-07    0.21948E-10
    79    0.20840E+04   -0.95671E+01    0.90933E-05   -0.95671E+01    0.44087E+00   -0.13506E-07    0.90933E-05   -0.13506E-07    0.21288E-10
    80    0.21078E+04   -0.10099E+02    0.88145E-05   -0.10099E+02    0.45541E+00   -0.13729E-07    0.88145E-05   -0.13729E-07    0.20654E-10
    81    0.21319E+04   -0.10635E+02    0.85437E-05   -0.10635E+02    0.47004E+00   -0.13836E-07    0.85437E-05   -0.13836E-07    0.20044E-10
    82    0.21563E+04   -0.11178E+02    0.82816E-05   -0.11178E+02    0.48479E+00   -0.13817E-07    0.82816E-05   -0.13817E-07    0.19456E-10
    83    0.21810E+04   -0.11727E+02    0.80292E-05   -0.11727E+02    0.49963E+00   -0.13678E-07    0.80292E-05   -0.13678E-07    0.18892E-10
    84    0.22060E+04   -0.12284E+02    0.77876E-05   -0.12284E+02    0.51455E+00   -0.13426E-07    0.77876E-05   -0.13426E-07    0.18348E-10
    85    0.22311E+04   -0.12852E+02    0.75578E-05   -0.12852E+02    0.52954E+00   -0.13067E-07    0.75578E-05   -0.13067E-07    0.17824E-10
    86    0.22565E+04   -0.13430E+02    0.73403E-05   -0.13430E+02    0.54461E+00   -0.12611E-07    0.73403E-05   -0.12611E-07    0.17320E-10
    87    0.22823E+04   -0.14018E+02    0.71342E-05   -0.14018E+02    0.55972E+00   -0.12086E-07    0.71342E-05   -0.12086E-07    0.16834E-10
    88    0.23081E+04   -0.14615E+02    0.69379E-05   -0.14615E+02    0.57490E+00   -0.11526E-07    0.69379E-05   -0.11526E-07    0.16365E-10
    89    0.23343E+04   -0.15222E+02    0.67500E-05   -0.15222E+02    0.59013E+00   -0.10963E-07    0.67500E-05   -0.10963E-07    0.15913E-10
    90    0.23608E+04   -0.15833E+02    0.65689E-05   -0.15833E+02    0.60538E+00   -0.10429E-07    0.65689E-05   -0.10429E-07    0.15477E-10
