    48    0.14834E+04    0.10111E+00    0.00000E+00    0.10378E+01    0.15290E-06    0.13089E-02   -0.10711E-05
    49    0.14983E+04    0.10810E+00    0.00000E+00    0.88753E+00    0.15253E-06    0.12838E-02   -0.10541E-05
    50    0.15138E+04    0.11524E+00    0.00000E+00    0.72914E+00    0.15213E-06    0.12588E-02   -0.10524E-05
    51    0.15296E+04    0.12248E+00    0.00000E+00    0.55835E+00    0.15171E-06    0.12340E-02   -0.10697E-05
    52    0.15459E+04    0.12994E+00    0.00000E+00    0.37067E+00    0.15127E-06    0.12096E-02   -0.10992E-05
    53    0.15624E+04    0.13782E+00    0.00000E+00    0.16338E+00    0.15081E-06    0.11858E-02   -0.11315E-05
    54    0.15789E+04    0.14617E+00    0.00000E+00   -0.58244E-01    0.15032E-06    0.11628E-02   -0.11572E-05
    55    0.15956E+04    0.15501E+00    0.00000E+00   -0.28884E+00    0.14982E-06    0.11407E-02   -0.11671E-05
    56    0.16127E+04    0.16424E+00    0.00000E+00   -0.52943E+00    0.14931E-06    0.11198E-02   -0.11547E-05
    57    0.16301E+04    0.17370E+00    0.00000E+00   -0.78040E+00    0.14877E-06    0.10997E-02   -0.11262E-05
    58    0.16479E+04    0.18336E+00    0.00000E+00   -0.10432E+01    0.14822E-06    0.10801E-02   -0.10905E-05
    59    0.16659E+04    0.19318E+00    0.00000E+00   -0.13193E+01    0.14766E-06    0.10607E-02   -0.10567E-05
    60    0.16842E+04    0.20318E+00    0.00000E+00   -0.16087E+01    0.14708E-06    0.10411E-02   -0.10337E-05
    61    0.17031E+04    0.21340E+00    0.00000E+00   -0.19112E+01    0.14649E-06    0.10212E-02   -0.10284E-05
    62    0.17220E+04    0.22387E+00    0.00000E+00   -0.22279E+01    0.14589E-06    0.10011E-02   -0.10385E-05
    63    0.17410E+04    0.23460E+00    0.00000E+00   -0.25597E+01    0.14528E-06    0.98089E-03   -0.10597E-05
    64    0.17605E+04    0.24567E+00    0.00000E+00   -0.29079E+01    0.14466E-06    0.96093E-03   -0.10874E-05
    65    0.17800E+04    0.25710E+00    0.00000E+00   -0.32730E+01    0.14403E-06    0.94140E-03   -0.11174E-05
    66    0.17999E+04    0.26886E+00    0.00000E+00   -0.36532E+01    0.14339E-06    0.92249E-03   -0.11455E-05
    67    0.18199E+04    0.28092E+00    0.00000E+00   -0.40450E+01    0.14274E-06    0.90422E-03   -0.11679E-05
    68    0.18405E+04    0.29327E+00    0.00000E+00   -0.44458E+01    0.14209E-06    0.88656E-03   -0.11815E-05
    69    0.18613E+04    0.30582E+00    0.00000E+00   -0.48533E+01    0.14143E-06    0.86951E-03   -0.11827E-05
    70    0.18825E+04    0.31857E+00    0.00000E+00   -0.52682E+01    0.14076E-06    0.85303E-03   -0.11681E-05
    71    0.19039E+04    0.33146E+00    0.00000E+00   -0.56925E+01    0.14008E-06    0.83710E-03   -0.11365E-05
    72    0.19257E+04    0.34449E+00    0.00000E+00   -0.61288E+01    0.13941E-06    0.82168E-03   -0.10944E-05
    73    0.19476E+04    0.35765E+00    0.00000E+00   -0.65789E+01    0.13872E-06    0.80669E-03   -0.10507E-05
    74    0.19697E+04    0.37098E+00    0.00000E+00   -0.70434E+01    0.13803E-06    0.79209E-03   -0.10140E-05
    75    0.19921E+04    0.38451E+00    0.00000E+00   -0.75224E+01    0.13734E-06    0.77781E-03   -0.99306E-06
    76    0.20146E+04    0.39828E+00    0.00000E+00   -0.80159E+01    0.13665E-06    0.76379E-03   -0.99391E-06
