    81    0.21342E+04    0.47215E+00    0.23838E-02   -0.10636E+02
    82    0.21587E+04    0.48694E+00    0.24433E-02   -0.11178E+02
    83    0.21834E+04    0.50182E+00    0.25036E-02   -0.11727E+02
    84    0.22084E+04    0.51679E+00    0.25646E-02   -0.12283E+02
    85    0.22336E+04    0.53182E+00    0.26263E-02   -0.12850E+02
    86    0.22590E+04    0.54693E+00    0.26888E-02   -0.13428E+02
    87    0.22849E+04    0.56208E+00    0.27520E-02   -0.14015E+02
    88    0.23107E+04    0.57730E+00    0.28160E-02   -0.14612E+02
    89    0.23369E+04    0.59258E+00    0.28807E-02   -0.15217E+02
    90    0.23634E+04    0.60786E+00    0.29462E-02   -0.15828E+02
    91    0.23900E+04    0.62316E+00    0.30125E-02   -0.16444E+02
    92    0.24170E+04    0.63845E+00    0.30796E-02   -0.17065E+02
    93    0.24443E+04    0.65373E+00    0.31474E-02   -0.17691E+02
    94    0.24717E+04    0.66895E+00    0.32160E-02   -0.18319E+02
    95    0.24994E+04    0.68413E+00    0.32854E-02   -0.18952E+02
    96    0.25272E+04    0.69924E+00    0.33556E-02   -0.19588E+02
    97    0.25554E+04    0.71427E+00    0.34267E-02   -0.20227E+02
    98    0.25839E+04    0.72922E+00    0.34985E-02   -0.20866E+02
    99    0.26124E+04    0.74404E+00    0.35712E-02   -0.21509E+02
   100    0.26413E+04    0.75874E+00    0.36446E-02   -0.22151E+02
   101    0.26704E+04    0.77337E+00    0.37189E-02   -0.22795E+02
   102    0.27000E+04    0.78778E+00    0.37940E-02   -0.23439E+02
   103    0.27296E+04    0.80206E+00    0.38700E-02   -0.24085E+02
   104    0.27594E+04    0.81620E+00    0.39467E-02   -0.24728E+02
   105    0.27894E+04    0.83013E+00    0.40243E-02   -0.25371E+02
   106    0.28196E+04    0.84392E+00    0.41027E-02   -0.26012E+02
   107    0.28498E+04    0.85742E+00    0.41819E-02   -0.26651E+02
   108    0.28804E+04    0.87071E+00    0.42620E-02   -0.27289E+02
   109    0.29111E+04    0.88371E+00    0.43429E-02   -0.27923E+02
   110    0.29420E+04    0.89642E+00    0.44247E-02   -0.28553E+02
   111    0.29730E+04    0.90892E+00    0.45073E-02   -0.29180E+02
   112    0.30042E+04    0.92113E+00    0.45908E-02   -0.29803E+02
   113    0.30357E+04    0.93306E+00    0.46752E-02   -0.30420E+02
   114    0.30672E+04    0.94463E+00    0.47605E-02   -0.31032E+02
   115    0.30990E+04    0.95598E+00    0.48467E-02   -0.31638E+02
   116    0.31308E+04    0.96689E+00    0.49338E-02   -0.32237E+02
   117    0.31629E+04    0.97745E+00    0.50219E-02   -0.32828E+02
   118    0.31952E+04    0.98779E+00    0.51108E-02   -0.33413E+02
   119    0.32275E+04    0.99777E+00    0.52007E-02   -0.33988E+02
   120    0.32600E+04    0.10072E+01    0.52916E-02   -0.34555E+02
   121    0.32925E+04    0.10165E+01    0.53834E-02   -0.35112E+02
   122    0.33250E+04    0.10252E+01    0.54762E-02   -0.35659E+02
   123    0.33577E+04    0.10335E+01    0.55699E-02   -0.36196E+02
   124    0.33905E+04    0.10415E+01    0.56646E-02   -0.36721E+02
   125    0.34233E+04    0.10490E+01    0.57602E-02   -0.37235E+02
   126    0.34561E+04    0.10562E+01    0.58568E-02   -0.37737E+02
   127    0.34890E+04    0.10628E+01    0.59544E-02   -0.38227E+02
   128    0.35219E+04    0.10691E+01    0.60529E-02   -0.38704E+02
   129    0.35549E+04    0.10748E+01    0.61525E-02   -0.39167E+02
   130    0.35880E+04    0.10801E+01    0.62530E-02   -0.39616E+02
   131    0.36210E+04    0.10850E+01    0.63545E-02   -0.40052E+02
   132    0.36541E+04    0.10894E+01    0.64571E-02   -0.40472E+02
   133    0.36872E+04    0.10933E+01    0.65606E-02   -0.40877E+02
   134    0.37202E+04    0.10968E+01    0.66652E-02   -0.41265E+02
   135    0.37533E+04    0.10998E+01    0.67708E-02   -0.41638E+02
   136    0.37862E+04    0.11023E+01    0.68775E-02   -0.41991E+02
   137    0.38192E+04    0.11043E+01    0.69852E-02   -0.42328E+02
   138    0.38521E+04    0.11059E+01    0.70941E-02   -0.42646E+02
   139    0.38848E+04    0.11070E+01    0.72040E-02   -0.42946E+02
   140    0.39175E+04    0.11076E+01    0.73149E-02   -0.43228E+02
   141    0.39501E+04    0.11076E+01    0.74270E-02   -0.43489E+02
   142    0.39826E+04    0.11073E+01    0.75402E-02   -0.43731E+02
   143    0.40151E+04    0.11064E+01    0.76545E-02   -0.43953E+02
   144    0.40474E+04    0.11051E+01    0.77699E-02   -0.44154E+02
   145    0.40796E+04    0.11034E+01    0.78864E-02   -0.44335E+02
   146    0.41118E+04    0.11011E+01    0.80040E-02   -0.44494E+02
   147    0.41436E+04    0.10984E+01    0.81227E-02   -0.44631E+02
   148    0.41754E+04    0.10952E+01    0.82425E-02   -0.44747E+02
   149    0.42070E+04    0.10916E+01    0.83634E-02   -0.44841E+02
   150    0.42384E+04    0.10876E+01    0.84855E-02   -0.44910E+02
   151    0.42696E+04    0.10832E+01    0.86086E-02   -0.44957E+02
   152    0.43005E+04    0.10782E+01    0.87329E-02   -0.44981E+02
   153    0.43313E+04    0.10729E+01    0.88583E-02   -0.44979E+02
   154    0.43619E+04    0.10672E+01    0.89848E-02   -0.44954E+02
   155    0.43923E+04    0.10611E+01    0.91125E-02   -0.44905E+02
   156    0.44223E+04    0.10546E+01    0.92413E-02   -0.44832E+02
   157    0.44522E+04    0.10478E+01    0.93713E-02   -0.44734E+02
   158    0.44819E+04    0.10407E+01    0.95025E-02   -0.44611E+02
   159    0.45112E+04    0.10331E+01    0.96348E-02   -0.44463E+02
   160    0.45404E+04    0.10252E+01    0.97683E-02   -0.44289E+02
   161    0.45693E+04    0.10171E+01    0.99029E-02   -0.44091E+02
   162    0.45980E+04    0.10086E+01    0.10039E-01   -0.43867E+02
   163    0.46265E+04    0.99979E+00    0.10176E-01   -0.43617E+02
